INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182080058,02403,Disorderly Conduct,DISTURBING THE PEACE,E18,495,,2018-10-03 20:13:00,2018,10,Wednesday,20,Part Two,ARLINGTON ST,42.26260773,-71.12118637,"(42.26260773, -71.12118637)"
I182080053,03201,Property Lost,PROPERTY - LOST,D14,795,,2018-08-30 20:00:00,2018,8,Thursday,20,Part Three,ALLSTON ST,42.35211146,-71.13531147,"(42.35211146, -71.13531147)"
I182080052,02647,Other,THREATS TO DO BODILY HARM,B2,329,,2018-10-03 19:20:00,2018,10,Wednesday,19,Part Two,DEVON ST,42.30812619,-71.07692974,"(42.30812619, -71.07692974)"
I182080051,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,92,,2018-10-03 20:00:00,2018,10,Wednesday,20,Part One,CAMBRIDGE ST,42.35945371,-71.05964817,"(42.35945371, -71.05964817)"
I182080050,03122,Aircraft,AIRCRAFT INCIDENTS,A7,36,,2018-10-03 20:49:00,2018,10,Wednesday,20,Part Three,PRESCOTT ST,42.37525782,-71.02466343,"(42.37525782, -71.02466343)"
I182080049,01402,Vandalism,VANDALISM,C11,351,,2018-10-02 20:40:00,2018,10,Tuesday,20,Part Two,DORCHESTER AVE,42.29919694,-71.06046974,"(42.29919694, -71.06046974)"
I182080048,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,, ,,2018-10-03 20:16:00,2018,10,Wednesday,20,Part Three,,42.32073413,-71.05676415,"(42.32073413, -71.05676415)"
I182080047,03301,Verbal Disputes,VERBAL DISPUTE,B2,603,,2018-10-03 19:32:00,2018,10,Wednesday,19,Part Three,TREMONT ST,42.33380683,-71.10377843,"(42.33380683, -71.10377843)"
I182080045,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,543,,2018-10-03 19:27:51,2018,10,Wednesday,19,Part Two,AVILA RD,42.25614494,-71.12802506,"(42.25614494, -71.12802506)"
I182080044,03410,Towed,TOWED MOTOR VEHICLE,D4,621,,2018-10-03 20:00:00,2018,10,Wednesday,20,Part Three,COMMONWEALTH AVE,42.34886600,-71.08936284,"(42.34886600, -71.08936284)"
I182080043,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,D14,750,,2018-10-03 19:33:00,2018,10,Wednesday,19,Part Three,FOSTER ST,42.34432328,-71.15778368,"(42.34432328, -71.15778368)"
I182080042,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,E13,582,,2018-10-01 20:00:00,2018,10,Monday,20,Part One,BYNNER ST,42.32324363,-71.10892316,"(42.32324363, -71.10892316)"
I182080041,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,484,,2018-10-03 17:18:00,2018,10,Wednesday,17,Part Three,BELNEL RD,42.26059891,-71.10306140,"(42.26059891, -71.10306140)"
I182080040,03115,Investigate Person,INVESTIGATE PERSON,B3,427,,2018-10-03 08:00:00,2018,10,Wednesday,8,Part Three,ELIZABETH ST,42.27986526,-71.08798275,"(42.27986526, -71.08798275)"
I182080039,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,469,,2018-10-03 19:58:30,2018,10,Wednesday,19,Part Three,FOTTLER RD,42.27791927,-71.09640610,"(42.27791927, -71.09640610)"
I182080038,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,, ,,2018-10-03 19:30:00,2018,10,Wednesday,19,Part Three,,42.31596119,-71.09042564,"(42.31596119, -71.09042564)"
I182080037,02647,Other,THREATS TO DO BODILY HARM,C11,385,,2018-10-03 18:35:00,2018,10,Wednesday,18,Part Two,HALLET ST,42.28076737,-71.04736497,"(42.28076737, -71.04736497)"
I182080035,02647,Other,THREATS TO DO BODILY HARM,B2,326,,2018-10-03 19:56:00,2018,10,Wednesday,19,Part Two,DUNKELD ST,42.31277782,-71.07562922,"(42.31277782, -71.07562922)"
I182080034,03115,Investigate Person,INVESTIGATE PERSON,D4,626,,2018-10-03 18:41:00,2018,10,Wednesday,18,Part Three,KILMARNOCK ST,42.34268073,-71.09937714,"(42.34268073, -71.09937714)"
I182080031,03108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",C11,338,,2018-10-03 18:18:00,2018,10,Wednesday,18,Part Three,NAVILLUS TER,42.30998781,-71.06213111,"(42.30998781, -71.06213111)"
I182080030,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,234,,2018-10-02 20:00:00,2018,10,Tuesday,20,Part Three,COLUMBIA RD,42.33001489,-71.03851306,"(42.33001489, -71.03851306)"
I182080029,00613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-10-03 19:09:00,2018,10,Wednesday,19,Part One,HUNTINGTON AVE,42.34797240,-71.07849582,"(42.34797240, -71.07849582)"
I182080028,03114,Investigate Property,INVESTIGATE PROPERTY,B2,295,,2018-10-03 18:24:00,2018,10,Wednesday,18,Part Three,HANSFORD ST,42.32527567,-71.08351579,"(42.32527567, -71.08351579)"
I182080027,03301,Verbal Disputes,VERBAL DISPUTE,B2,294,,2018-10-03 18:53:00,2018,10,Wednesday,18,Part Three,AKRON ST,42.32579408,-71.08563758,"(42.32579408, -71.08563758)"
I182080027,00619,Larceny,LARCENY ALL OTHERS,B2,294,,2018-10-03 18:53:00,2018,10,Wednesday,18,Part One,AKRON ST,42.32579408,-71.08563758,"(42.32579408, -71.08563758)"
I182080026,02629,Harassment,HARASSMENT,C6,256,,2017-08-31 00:00:00,2017,8,Thursday,0,Part Two,MOUNT VERNON ST,42.31779354,-71.04210959,"(42.31779354, -71.04210959)"
I182080025,00311,Robbery,ROBBERY - COMMERCIAL,, ,,2018-10-03 19:05:00,2018,10,Wednesday,19,Part One,,42.34952402,-71.07949284,"(42.34952402, -71.07949284)"
I182080024,01842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E13,640,,2018-10-03 17:30:00,2018,10,Wednesday,17,Part Two,BOYLSTON ST,42.31694189,-71.10394558,"(42.31694189, -71.10394558)"
I182080023,03115,Investigate Person,INVESTIGATE PERSON,D4,165,,2018-05-12 00:00:00,2018,5,Saturday,0,Part Three,HARRISON AVE,42.34285014,-71.06516235,"(42.34285014, -71.06516235)"
I182080022,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,779,,2018-10-03 19:19:00,2018,10,Wednesday,19,Part Three,MONTCALM AVE,42.35321122,-71.14841124,"(42.35321122, -71.14841124)"
I182080021,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,80,,2018-10-03 18:49:00,2018,10,Wednesday,18,Part Three,MARGARET ST,42.36570319,-71.05580301,"(42.36570319, -71.05580301)"
I182080020,02647,Other,THREATS TO DO BODILY HARM,A7,15,,2018-10-03 18:46:00,2018,10,Wednesday,18,Part Two,CHAUCER ST,42.38305542,-71.02117632,"(42.38305542, -71.02117632)"
I182080019,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E13,948,,2018-10-03 18:07:00,2018,10,Wednesday,18,Part Two,AMORY ST,42.31915678,-71.10067583,"(42.31915678, -71.10067583)"
I182080018,02900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,C11,255,,2018-10-03 19:05:00,2018,10,Wednesday,19,Part Two,GREENMOUNT ST,42.31041438,-71.05918086,"(42.31041438, -71.05918086)"
I182080018,02905,Violations,VAL - OPERATING WITHOUT LICENSE,C11,255,,2018-10-03 19:05:00,2018,10,Wednesday,19,Part Two,GREENMOUNT ST,42.31041438,-71.05918086,"(42.31041438, -71.05918086)"
I182080016,01402,Vandalism,VANDALISM,C11,405,,2018-09-30 00:00:00,2018,9,Sunday,0,Part Two,WASHINGTON ST,42.27234506,-71.06871774,"(42.27234506, -71.06871774)"
I182080015,02646,Liquor Violation,LIQUOR - DRINKING IN PUBLIC,B2,279,,2018-10-03 19:18:00,2018,10,Wednesday,19,Part Two,DEARBORN ST,42.32855807,-71.07927600,"(42.32855807, -71.07927600)"
I182080013,01402,Vandalism,VANDALISM,B2,588,,2018-10-02 22:00:00,2018,10,Tuesday,22,Part Two,GURNEY ST,42.33201285,-71.09598982,"(42.33201285, -71.09598982)"
I182080012,01402,Vandalism,VANDALISM,C11,342,,2018-10-03 15:25:00,2018,10,Wednesday,15,Part Two,BOWDOIN ST,42.30369670,-71.07104897,"(42.30369670, -71.07104897)"
I182080011,03114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2018-10-03 19:03:00,2018,10,Wednesday,19,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
I182080010,03114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2018-10-03 19:02:00,2018,10,Wednesday,19,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
